user,crossborder,warehouse,shipping,accounting,social_commerce,marketplaces,trader,retail,manufacturer
1,1,1,1,0,0,1,0,0,1
2,1,0,1,0,0,0,1,0,0
3,0,1,1,1,1,1,1,0,1
4,0,1,0,1,1,0,0,0,0
5,0,1,0,1,0,1,0,0,1
6,1,0,0,0,0,0,0,1,1
7,1,1,0,0,0,0,0,1,0
8,1,1,1,1,1,1,1,1,0
9,1,0,1,0,1,0,0,1,1
10,1,0,0,0,0,0,1,1,0
11,0,0,0,0,0,0,0,1,1
12,1,0,0,0,0,0,0,0,0
13,1,0,0,0,0,1,1,0,1
14,0,1,1,1,1,1,1,0,0
15,0,1,0,1,0,1,0,1,1
16,0,1,0,0,0,1,0,0,0
17,1,1,0,1,0,0,1,1,1
18,0,0,0,0,1,0,0,0,1
19,0,0,1,0,1,1,1,1,0
20,0,0,0,0,1,1,0,0,0
